column,dataset,id,name,transformation,,
521,ppi,327910, Abrasive product manufacturing,5,,
522,ppi,331210, Iron steel pipe & tube mfg from purch steel,5,,
523,ppi,333210, Sawmill & woodworking machinery mfg,5,,
524,ppi,334310, Audio & video equipment mfg,5,,
525,ppi,335110, Electric lamp bulb & part mfg,5,,
526,ppi,336370, Motor vehicle metal stamping,5,,
527,ppi,337910, Mattress mfg,5,,
528,ppi,311421, Fruit and vegetable canning,5,,
529,ppi,311423, Dried and dehydrated food manufacturing,5,,
530,ppi,311513, Cheese manufacturing,5,,
531,ppi,311611, Animal except poultry slaughtering,5,,
532,ppi,311612, Meat processed from carcasses,5,,
533,ppi,311613, Rendering and meat byproduct processing,5,,
534,ppi,311711, Seafood canning,5,,
535,ppi,311712, Fresh & frozen seafood processing,5,,
536,ppi,311813p, Frozen cakes pies & other pastries mfg (Primary products),5,,
537,ppi,3118233, Dry pasta manufacturing ( Macaroni  spaghetti  vermicelli  and noodles),5,,
538,ppi,312111p, Soft drinks manufacturing (Primary products),5,,
539,ppi,312221, Cigarettes,5,,
540,ppi,3122291, Other tobacco product mfg (Cigars),5,,
541,ppi,313111, Yarn spinning mills,5,,
542,ppi,3133111, Broadwoven fabric finishing mills ( Finished cotton broadwoven fabrics  not finished in weaving mills),5,,
543,ppi,315111, Sheer hosiery mills,5,,
544,ppi,315191, Outerwear knitting mills,5,,
545,ppi,315223, Men's boy's cut & sew shirt  exc work  mfg,5,,
546,ppi,315224, Men's boy's cut & sew trouser slack jean mfg,5,,
547,ppi,315993, Men's and boys' neckwear mfg,5,,
548,ppi,316211, Rubber and plastic footwear manufacturing,5,,
549,ppi,316213, Men's footwear  exc athletic  mfg,5,,
550,ppi,316214, Women's footwear  exc athletic  mfg,5,,
551,ppi,316992, Women's handbag & purse mfg,5,,
552,ppi,321212, Softwood veneer or plywood  mfg,5,,
553,ppi,3212191, Reconstituted wood product mfg ( Particleboard  produced at this location),5,,
554,ppi,3219181, Other millwork  including flooring ( Wood moldings  except prefinished moldings made from purchased moldings),5,,
555,ppi,321991, Manufactured homes  mobile homes  mfg,5,,
556,ppi,3221211, Paper  except newsprint  mills ( Clay coated printing and converting paper),5,,
557,ppi,322214, Fiber can  tube  drum & oth products mfg,5,,
558,ppi,324121, Asphalt paving mixture & block mfg,5,,
559,ppi,324122, Asphalt shingle & coating materials mfg,5,,
560,ppi,324191p, Petroleum lubricating oils and greases ( Primary products),5,,
561,ppi,325181, Alkalies and chlorine,5,,
562,ppi,3251881, All other basic inorganic chemical manufacturing ( Sulfuric acid  gross  new and fortified),5,,
563,ppi,3251921, Cyclic crude and intermediate manufacturing ( Cyclic  coal tar  intermediates),5,,
564,ppi,325212, Synthetic rubber manufacturing,5,,
565,ppi,325222, Manufactured noncellulosic fibers,5,,
566,ppi,325314, Fertilizer  mixing only  manufacturing,5,,
567,ppi,3254111, Medicinal & botanical mfg ( Synthetic organic medicinal chemicals  in bulk),5,,
568,ppi,3261131, Unsupported plastics film sheet  excluding packaging  manufacturing ( Unsupported plastics film and sheet),5,,
569,ppi,326192, Resilient floor covering manufacturing,5,,
570,ppi,326211, Tire manufacturing  except retreading,5,,
571,ppi,327111, Vitreous plumbing fixtures access ftg mfg,5,,
572,ppi,327121, Brick and structural clay tile,5,,
573,ppi,327122, Ceramic wall and floor tile,5,,
574,ppi,327124, Clay refractories,5,,
575,ppi,327125, Nonclay Refractory Manufacturing,5,,
576,ppi,327211, Flat glass manufacturing,5,,
577,ppi,327213, Glass container manufacturing,5,,
578,ppi,327331, Concrete block and brick manufacturing,5,,
579,ppi,3279931, Mineral wool manufacturing,5,,
580,ppi,331111, Iron and steel mills,5,,
581,ppi,331112, Electrometallurgical ferroalloy product mfg,5,,
582,ppi,331221, Rolled steel shape manufacturing,5,,
583,ppi,331312, Primary aluminum production,5,,
584,ppi,331315, Aluminum sheet  plate & foil mfg,5,,
585,ppi,331316, Aluminum extruded products,5,,
586,ppi,331421, Copper rolling  drawing & extruding,5,,
587,ppi,3314913, Other nonferrous metal roll draw extruding ( Titanium and titanium base alloy mill shapes  excluding wire),5,,
588,ppi,3314923, Other nonferrous secondary smelt refine alloying (Secondary lead),5,,
589,ppi,331511, Iron foundries,5,,
590,ppi,3322121, Hand and edge tools  except machine tools and handsaws ( Mechanics' hand service tools),5,,
591,ppi,332213, Saw blade & handsaw mfg,5,,
592,ppi,3323111, Prefabricated metal building and component manufacturing ( Prefabricated metal building systems  excluding farm service bldgs  & residential buildings),5,,
593,ppi,332321, Metal window and door manufacturing,5,,
594,ppi,332431, Metal can mfg,5,,
595,ppi,324393, Other metal container manufacturing ( Steel shipping barrels & drums  exc  beer barrels  more than 12 gallon capacity),5,,
596,ppi,332611, Spring  heavy gauge  mfg,5,,
597,ppi,3326122, Spring  light gauge  mfg ( Precision mechanical springs),5,,
598,ppi,3327224, Bolt  nut  screw  rivet & washer mfg ( Externally threaded metal fasteners  except aircraft),5,,
599,ppi,332913, Plumbing fixture fitting & trim mfg,5,,
600,ppi,332991, Ball and roller bearings,5,,
601,ppi,332992, Small arms ammunition mfg,5,,
602,ppi,332996, Fabricated pipe & pipe fitting mfg,5,,
603,ppi,332998, Enameled iron & metal sanitary ware mfg,5,,
604,ppi,333111, Farm machinery & equipment mfg,5,,
605,ppi,333131, Mining machinery & equipment mfg,5,,
606,ppi,333132, Oil and gas field machinery and equipment mfg,5,,
607,ppi,333292, Textile machinery,5,,
608,ppi,333293, Printing machinery & equipment mfg,5,,
609,ppi,3332941, Food products machinery mfg ( Dairy and milk products plant machinery),5,,
610,ppi,3332981, All other industrial machinery mfg ( Chemical manufacturing machinery  equipment  and parts),5,,
611,ppi,3333111, Automatic vending machine mfg ( Automatic merchandising machines  coin operated  excluding parts),5,,
612,ppi,333512, Machine tool  metal cutting types  mfg,5,,
613,ppi,333513, Machine tool  metal forming types  mfg,5,,
614,ppi,3335151, Cutting tool & machine tool accessory mfg ( Small cutting tools for machine tools and metalworking machinery),5,,
615,ppi,333612, Speed changer  industrial high speed drive  & gear mfg,5,,
616,ppi,333618, Other engine equipment mfg,5,,
617,ppi,3339111, Pump & pumping equipment mfg ( Industrial pumps  except hydraulic fluid power pumps),5,,
618,ppi,333922, Conveyor & conveying equipment mfg,5,,
619,ppi,3339233, Overhead crane  hoist & monorail system mfg ( Overhead traveling cranes and monorail systems),5,,
620,ppi,3339241, Industrial truck  tractor  trailer  stacker machinery mfg ( Industrial trucks and tractors  motorized and hand powered),5,,
621,ppi,333992, Welding & soldering equipment mfg  (Welding & soldering equipment mfg),5,,
622,ppi,333997, Scale & balance  except laboratory  mfg,5,,
623,ppi,334411, Electron tube mfg,5,,
624,ppi,334414, Electronic capacitor mfg,5,,
625,ppi,334415, Electronic resistor mfg,5,,
626,ppi,334417, Electronic connector mfg,5,,
627,ppi,3345153, Electricity measuring testing instrument mfg ( Test equipment for testing electrical  radio & communication circuits & motors),5,,
628,ppi,334517p, Irradiation apparatus manufacturing ( Primary products),5,,
629,ppi,3351211, Residential electric lighting fixture mfg ( Residential electric lighting fixtures  except portable  & parts),5,,
630,ppi,335122, Commercial electric lighting fixture mfg,5,,
631,ppi,335129, Other lighting equipment mfg,5,,
632,ppi,335212, Household vacuum cleaner mfg,5,,
633,ppi,335221, Household cooking appliance mfg,5,,
634,ppi,335311, Power distribution specialty transformer mfg,5,,
635,ppi,335312, Motor & generator mfg,5,,
636,ppi,335314p, Relay & industrial control mfg ( Primary products),5,,
637,ppi,335911, Storage battery mfg,5,,
638,ppi,3359291, Other communication and energy wire mfg ( Power wire and cable  made in plants that draw wire),5,,
639,ppi,335932, Noncurrent carrying wiring device mfg,5,,
640,ppi,335991p, Carbon & graphite product mfg ( Primary products),5,,
641,ppi,336321p, Vehicular lighting equipment mfg ( Primary products),5,,
642,ppi,337121, Upholstered household furniture mfg,5,,
643,ppi,337122, Wood household furniture  except upholstered,5,,
644,ppi,337124, Metal household furniture,5,,
645,ppi,337211, Wood office furniture mfg,5,,
646,ppi,3372141, Nonwood office furniture ( Office seating  including upholstered  nonwood),5,,
647,ppi,3399111, Jewelry  except costume  mfg ( Jewelry made of solid platinum metals and solid karat gold),5,,
648,ppi,3399123, Silverware & hollowware mfg ( Flatware and carving sets made wholly of metal),5,,
649,ppi,339931, Doll & stuffed toy mfg,5,,
650,ppi,339932, Game  toy  & children's vehicle mfg,5,,
651,ppi,339944, Carbon paper & inked ribbon mfg,5,,
652,ppi,3399931, Fastener  button  needle  & pin mfg ( Buttons and parts  except for precious or semiprecious metals and stones),5,,
653,ppi,3399945, Broom  brush  & mop mfg ( Other brushes),5,,
112,pce_index,P1TDGG3,Durable goods,5,P1NDCG3,
113,pce_index,P1NDCG3,New domestic autos,5,,
114,pce_index,P1NFCG3,New foreign autos,5,,
115,pce_index,P1NETG3,Net transactions in used autos,5,,
116,pce_index,P1MARG3,Used auto margin,5,,
117,pce_index,P1REEG3,Employee reimbursement,5,,
118,pce_index,P1TRUG3,"Trucks, new and net used",5,,
119,pce_index,P1REVG3,Recreational vehicles,5,,
120,pce_index,P1TATG3,Tires and tubes,5,,
121,pce_index,P1PAAG3,Accessories and parts,5,,
122,pce_index,P1FNRG3,"Furniture, including mattresses and bedsprings",5,,
123,pce_index,P1MHAG3,Major household appliances,5,,
124,pce_index,P1SEAG3,Small electric appliances,5,,
125,pce_index,P1CHNG3,"China, glassware, tableware, and utensils",5,,
126,pce_index,P1RADG3,"Video and audio goods, including musical instruments, and computer goods",5,,
127,pce_index,P1FLRG3,Floor coverings,5,,
128,pce_index,P1CLFG3,"Clocks, lamps, and furnishings",5,,
129,pce_index,P1TEXG3,"Blinds, rods, and other",5,,
130,pce_index,P1WTRG3,Writing equipment,5,,
131,pce_index,P1HDWG3,"Tools, hardware, and supplies",5,,
132,pce_index,P1LWNG3,Outdoor eqpt and supplies,5,,
133,pce_index,P1OPTG3,Ophthalmic products and orthopedic appliances,5,,
134,pce_index,P1GUNG3,Guns,5,,
135,pce_index,P1SPTG3,Sporting equipment,5,,
136,pce_index,P1CAMG3,Photographic equipment,5,,
137,pce_index,P1BCYG3,Bicycles,5,,
138,pce_index,P1MCYG3,Motorcycles,5,,
139,pce_index,P1BOAG3,Pleasure boats,5,,
140,pce_index,P1AIRG3,Pleasure aircraft,5,,
141,pce_index,P1JRYG3,Jewelry and watches,5,,
142,pce_index,P1BKSG3,Books and maps,5,,
143,pce_index,P1TNDG3,Nondurable goods,5,P1GRAG3,
144,pce_index,P1GRAG3,Cereals,5,,
145,pce_index,P1BAKG3,Bakery products,5,,
146,pce_index,P1BEEG3,Beef and veal,5,,
147,pce_index,P1PORG3,Pork,5,,
148,pce_index,P1MEAG3,Other meats,5,,
149,pce_index,P1POUG3,Poultry,5,,
150,pce_index,P1FISG3,Fish and seafood,5,,
151,pce_index,P1GGSG3,Eggs,5,,
152,pce_index,P1MILG3,Fresh milk and cream,5,,
153,pce_index,P1DAIG3,Processed dairy products,5,,
154,pce_index,P1FRUG3,Fresh fruits,5,,
155,pce_index,P1VEGG3,Fresh vegetables,5,,
156,pce_index,P1PFVG3,Processed fruits and vegetables,5,,
157,pce_index,P1JNBG3,Juices and nonalcoholic drinks,5,,
158,pce_index,P1CTMG3,"Coffee, tea and beverage materials",5,,
159,pce_index,P1FATG3,Fats and oils,5,,
160,pce_index,P1SWEG3,Sugar and sweets,5,,
161,pce_index,P1OFDG3,Other foods,5,,
162,pce_index,P1PEFG3,Pet food,5,,
163,pce_index,P1MLTG3,"Beer and ale, at home",5,,
164,pce_index,P1WING3,"Wine and brandy, at home",5,,
165,pce_index,P1LIQG3,"Distilled spirits, at home",5,,
166,pce_index,P1ESLG3,Elementary and secondary school lunch,5,,
167,pce_index,P1HSLG3,Higher education school lunch,5,,
168,pce_index,P1OPMG3,Other purchased meals,5,,
169,pce_index,P1APMG3,Alcohol in purchased meals,5,,
170,pce_index,P1CFDG3,Food supplied civilians,5,,
171,pce_index,P1MFDG3,Food supplied military,5,,
172,pce_index,P1FFDG3,Food produced and consumed on farms,5,,
173,pce_index,P1SHUG3,Shoes (12),5,,
174,pce_index,P1WGCG3,Clothing for females,5,,
175,pce_index,P1WICG3,Clothing for infants,5,,
176,pce_index,P1WSGG3,Sewing goods for females,5,,
177,pce_index,P1WUGG3,Luggage for females,5,,
178,pce_index,P1MBCG3,Clothing for males,5,,
179,pce_index,P1MSGG3,Sewing goods for males,5,,
180,pce_index,P1MUGG3,Luggage for males,5,,
181,pce_index,P1MICG3,Standard clothing issued to military personnel (n.d.),5,,
182,pce_index,P1GASG3,Gasoline and other motor fuel,5,,
183,pce_index,P1LUBG3,Lubricants,5,,
184,pce_index,P1OILG3,Fuel oil,5,,
185,pce_index,P1LPGG3,Liquified petroleum gas and other fuel,5,,
186,pce_index,P1TOBG3,Tobacco products,5,,
187,pce_index,P1SOAG3,Soap,5,,
188,pce_index,P1CSMG3,Cosmetics and perfumes,5,,
189,pce_index,P1OPHG3,Other personal hygiene goods,5,,
190,pce_index,P1SDHG3,Semidurable house furnishings,5,,
191,pce_index,P1CLEG3,Cleaning preparations,5,,
192,pce_index,P1LIGG3,Lighting supplies,5,,
193,pce_index,P1PAPG3,Paper products,5,,
194,pce_index,P1RXDG3,Prescription drugs,5,,
195,pce_index,P1NRXG3,Nonprescription drugs,5,,
196,pce_index,P1MDSG3,Medical supplies,5,,
197,pce_index,P1GYNG3,Gynecological goods,5,,
198,pce_index,P1DOLG3,"Toys, dolls, and games",5,,
199,pce_index,P1AMMG3,"Sport supplies, including ammunition",5,,
200,pce_index,P1FLMG3,Film and photo supplies,5,,
201,pce_index,P1STSG3,Stationery and school supplies,5,,
202,pce_index,P1GREG3,Greeting cards,5,,
203,pce_index,P1ARTG3,Government expenditures abroad,5,,
204,pce_index,P1ARSG3,Other private services,5,,
205,pce_index,P1REMG3,Less: Personal remittances in kind to nonresidents,5,,
206,pce_index,P1MGZG3,Magazines and sheet music,5,,
207,pce_index,P1NWPG3,Newspapers,5,,
208,pce_index,P1FLOG3,"Flowers, seeds, and potted plants",5,,
209,pce_index,P1TSSG3,Services,5,P1TSSG3,
210,pce_index,P1OMHG3,Owner occupied mobile homes,5,,
211,pce_index,P1OSTG3,Owner occupied stationary homes,5,,
212,pce_index,P1TMHG3,Tenant occupied mobile homes,5,,
213,pce_index,P1TSPG3,Tenant occupied stationary homes,5,,
214,pce_index,P1TLDG3,Tenant landlord durables,5,,
215,pce_index,P1FARG3,Rental value of farm dwellings,5,,
216,pce_index,P1HOTG3,Hotels and motels,5,,
217,pce_index,P1HFRG3,Clubs and fraternity housing,5,,
218,pce_index,P1HHEG3,Higher education housing,5,,
219,pce_index,P1HESG3,Elem and second education housing,5,,
220,pce_index,P1TGRG3,Tenant group room and board,5,,
221,pce_index,P1TGLG3,Tenant group employee lodging,5,,
222,pce_index,P1ELCG3,Electricity,5,,
223,pce_index,P1NGSG3,Gas,5,,
224,pce_index,P1WSMG3,Water and sewerage maintenance,5,,
225,pce_index,P1REFG3,Refuse collection,5,,
226,pce_index,P1LOCG3,Local and cellular telephone,5,,
